file_extension,file_category,final_status,conversions
wav,audio,ok,"wav,mp3"
m4a,audio,ok,"m4a,mp3"
mp3,audio,ok,"mp3"
ogg,audio,ok,"ogg,mp3"
flac,audio,ok,"flac,mp3"
wma,audio,ok,"wma,mp3"
aac,audio,ok,"aac,mp3"
aiff,audio,ok,"aiff,mp3"
heif,image,ok,"heif,jpg"
gif,image,ok,"gif,jpg"
png,image,ok,"png,jpg"
tiff,image,ok,"tiff,jpg"
bmp,image,ok,"bmp,jpg"
heic,image,ok,"heic,jpg"
jpg,image,ok,"jpg"
tif,image,ok,"tif,jpg"
jpeg,image,ok,"jpeg,jpg"
html,document,ok,"html,pdfa,txt"
xlsx,spreadsheet,ok,"xlsx,ods,pdfa,csv"
csv,spreadsheet,ok,"csv"
ods,spreadsheet,ok,"ods,pdfa,csv"
htm,document,ok,"htm,pdfa,txt"
xls,spreadsheet,ok,"xls,ods,pdfa,csv"
key,presentation,ok,"key,odp,pdfa,txt"
pptx,presentation,ok,"pptx,odp,pdfa,txt"
odp,presentation,ok,"odp,pdfa,txt"
ppt,presentation,ok,"ppt,odp,pdfa,txt"
txt,document,ok,"txt"
docx,document,ok,"docx,odt,pdfa,txt"
rtf,document,ok,"rtf,odt,pdfa,txt"
eml,document,ok,"eml,pdfa,txt"
odt,document,ok,"odt,pdfa,txt"
pdf,pdf,ok,"pdf,pdfa,txt"
zip,archive,ok,"zip"
doc,document,ok,"doc,odt,pdfa,txt"
3gp,video,ok,"3gp,mp4"
webm,video,ok,"webm,mp4"
mkv,video,ok,"mkv,mp4"
avi,video,ok,"avi,mp4"
ogv,video,ok,"ogv,mp4"
m4v,video,ok,"m4v,mp4"
wmv,video,manual_review,"wmv,mp4"
mov,video,ok,"mov,mp4"
mp4,video,ok,"mp4"
